method,E,rounds,epochs,active,TP,FP,FN,precision,recall,F1,jaccard,val_mse,obj,tau,upload_kib
Pooled,,,,172,172,0,0,1.0,1.0,1.0,1.0,44.184483388420595,22.90071453735459,,
Local-only,,0.0,,164,81,83,91,0.49390243902439024,0.47093023255813954,0.48214285714285715,0.3176470588235294,55.621567556730426,27.04141511820436,,0.0
One-shot,,1.0,,299,124,175,48,0.41471571906354515,0.7209302325581395,0.5265392781316348,0.3573487031700288,53.90688214606858,25.858292542212894,,14.0625
ADMM,,133.0,,117,115,2,57,0.9829059829059829,0.6686046511627907,0.7958477508650519,0.6609195402298851,45.74741289294647,22.545023346829225,,1870.3125
FedAvg,1.0,28.0,28.0,402,149,253,23,0.3706467661691542,0.8662790697674418,0.519163763066202,0.35058823529411764,49.93040964532051,25.51788304250168,,393.75
FedAvg-ST,1.0,29.0,28.0,124,92,32,80,0.7419354838709677,0.5348837209302325,0.6216216216216216,0.45098039215686275,53.44850754655681,24.3822366802229,0.08501638373564392,407.8125
FedAvg,2.0,17.0,34.0,376,145,231,27,0.38563829787234044,0.8430232558139535,0.5291970802919708,0.3598014888337469,51.163989754601296,25.159660935120243,,239.0625
FedAvg-ST,2.0,18.0,34.0,112,85,27,87,0.7589285714285714,0.4941860465116279,0.5985915492957746,0.4271356783919598,55.292568528613685,24.452556038294258,0.08501638373564392,253.125
FedAvg,3.0,13.0,39.0,350,141,209,31,0.40285714285714286,0.8197674418604651,0.5402298850574712,0.3700787401574803,52.21547486113284,25.23274413814312,,182.8125
FedAvg-ST,3.0,14.0,39.0,114,83,31,89,0.7280701754385965,0.48255813953488375,0.5804195804195804,0.4088669950738916,56.17515359526248,24.608047881619154,0.08501638373564392,196.875
FedAvg,5.0,10.0,50.0,324,132,192,40,0.4074074074074074,0.7674418604651163,0.532258064516129,0.3626373626373626,53.23710934125551,25.43370410177921,,140.625
FedAvg-ST,5.0,11.0,50.0,120,79,41,93,0.6583333333333333,0.45930232558139533,0.5410958904109588,0.37089201877934275,56.96887198131981,24.852947001002313,0.08501638373564392,154.6875
FedAvg,8.0,8.0,64.0,320,130,190,42,0.40625,0.7558139534883721,0.5284552845528455,0.35911602209944754,53.735444029388155,25.59720411815394,,112.5
FedAvg-ST,8.0,9.0,64.0,121,77,44,95,0.6363636363636364,0.4476744186046512,0.5255972696245734,0.35648148148148145,57.3833565455277,25.013367714630423,0.08501638373564392,126.5625
FedAvg,10.0,7.0,70.0,312,126,186,46,0.40384615384615385,0.7325581395348837,0.5206611570247934,0.35195530726256985,53.80716225189994,25.660093077457056,,98.4375
FedAvg-ST,10.0,8.0,70.0,123,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.53745468438288,25.060285562130737,0.08501638373564392,112.5
FedAvg,15.0,6.0,90.0,307,124,183,48,0.40390879478827363,0.7209302325581395,0.5177453027139876,0.3492957746478873,53.85225862696916,25.73129704300922,,84.375
FedAvg-ST,15.0,7.0,90.0,123,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.645979519403355,25.11115861291904,0.08501638373564392,98.4375
FedAvg,20.0,6.0,120.0,304,124,180,48,0.40789473684210525,0.7209302325581395,0.5210084033613445,0.3522727272727273,53.89626406497801,25.768050368312057,,84.375
FedAvg-ST,20.0,7.0,120.0,123,76,47,96,0.6178861788617886,0.4418604651162791,0.5152542372881356,0.3470319634703196,57.70299308140902,25.13933477959804,0.08501638373564392,98.4375
